LastLat,LastLng,magX,magY,magZ,Lat,Lng
19.07597035,72.9921068,-28.66668701,-9.666442871,-12.30773926,19.07596969,72.99211093
19.07596969,72.99211093,-29.13513184,-11.01226807,-10.51483154,19.07596919,72.99211444
19.07596919,72.99211444,-28.3416748,-1.699829102,-5.010986328,19.07596909,72.99211515
19.07596909,72.99211515,-31.22406006,-6.147766113,-6.538391113,19.07596911,72.99211608
19.07596911,72.99211608,-30.58929443,-12.78686523,-9.387207031,19.07596924,72.99211654
19.07596924,72.99211654,-32.03582764,-5.000305176,-4.983520508,19.07596924,72.99211728
19.07596924,72.99211728,38.80310059,8.061218262,-2.46887207,19.0759977,72.99235804
19.0759977,72.99235804,41.78619385,-0.494384766,2.630615234,19.07599751,72.9923309
19.07599751,72.9923309,39.24560547,-3.34777832,-0.692749023,19.07599194,72.99232384
19.07599194,72.99232384,39.26239014,-4.830932617,-4.010009766,19.07598784,72.99231634
19.07598784,72.99231634,38.47808838,-1.000976563,-6.381225586,19.07598151,72.99231009
19.07598151,72.99231009,37.34436035,-3.78112793,-2.725219727,19.07597737,72.99230094
19.07597737,72.99230094,36.76300049,-2.60925293,-6.127929688,19.07597265,72.99229615
19.07597265,72.99229615,36.4944458,-5.766296387,-8.35723877,19.07597005,72.9922948
19.07597005,72.9922948,37.19329834,-5.577087402,-11.32965088,19.07596838,72.99229091
19.07596838,72.99229091,37.20550537,-6.178283691,-7.391357422,19.07596868,72.99228911
19.07596868,72.99228911,37.14752197,-4.917907715,-10.06622314,19.07597044,72.99228351
19.07597044,72.99228351,37.0223999,-7.57598877,-11.89575195,19.07597097,72.99228157
19.07597097,72.99228157,38.78936768,-6.465148926,-12.78076172,19.07597127,72.99227963
19.07597127,72.99227963,38.95568848,-5.307006836,-10.32714844,19.07597145,72.99227383
19.07597145,72.99227383,38.3895874,-7.054138184,-12.7166748,19.07597461,72.99226419
19.07597461,72.99226419,39.47753906,-10.86273193,-13.96179199,19.07597559,72.99226153
19.07597559,72.99226153,40.06652832,-9.928894043,-16.065979,19.07597629,72.9922596
19.07597629,72.9922596,40.03295898,-9.02557373,-13.61999512,19.07597642,72.99225922
19.07597642,72.99225922,39.86663818,-10.3515625,-15.52276611,19.07597651,72.99225892
19.07597651,72.99225892,40.6036377,-12.92724609,-14.17236328,19.07597652,72.99225883
19.07597652,72.99225883,41.31774902,-12.66479492,-15.01464844,19.07597646,72.99225877
19.07597646,72.99225877,39.93225098,-11.36322021,-12.21466064,19.07597644,72.99225878
19.07597644,72.99225878,40.80810547,-12.42523193,-14.16320801,19.07597652,72.99225873
19.07597652,72.99225873,41.55426025,-14.50042725,-13.12408447,19.07597658,72.99225878
19.07597658,72.99225878,42.63000488,-12.31994629,-13.47503662,19.0759766,72.99225875
19.0759766,72.99225875,41.39556885,-12.75787354,-12.49237061,19.0759766,72.99225876
19.0759766,72.99225876,40.71960449,-10.09216309,-14.70794678,19.0759766,72.99225886
19.0759766,72.99225886,40.79437256,-13.09051514,-14.4821167,19.07597661,72.99225884
19.07597661,72.99225884,42.10968018,-8.827209473,-14.10675049,19.07597662,72.99225879
19.07597662,72.99225879,41.78466797,-9.336853027,-12.62207031,19.07597663,72.99225877
19.07597663,72.99225877,40.4800415,-8.253479004,-17.22869873,19.07597662,72.99225882
